Artifact#,Provenience,Length (mm),Width (mm),Weight (g),Thickness (mm),Bulb Thickness (mm),Material Type,Material Quality,Cortex,Platform,Term.,Comments
585,4-P-1,40.1,33.8,8.4,7.4,6.8,Chert,Bad,?50%,Flat,X,
586,4-P-1,22.1,16.2,1.6,3.8,3.8,Chert,Good,?505,x,Feathered,
587,4-P-1,36.8,24.8,9.3,11.7,10.1,Chert,Very Good,None,Flat ,x,Grey / black chert
588,4-P-1,32,16.5,24,4.6,4.1,Chert,Good,None,Flat,Feathered,
589,4-P-1,39.2,17.7,1.8,11,12.7,Chert,Very Bad,?50%,Flat,Unkown,
591,4-P-1,27.2,16.3,3.2,9.1,9.1,Chert,Intermediate,>50%,Cortical,x,Oxidized
592,4-P-1,19.6,17.6,1.5,6,5.1,Limestone,Good,?50%,X,X,Masonry
593,4-P-1,40,6.2,33.4,4.9,x,Limestone,Bad,?50%,x,x,Masonry
594,4-P-1,88.7,25.9,166.1,28.7,27.4,Limestone,Intermediate,x,Complex,x,"Masonry, poss chopper"
595,4-L-2,16.2,12.3,1.1,4.5,x,Chert,Intermediate,x,x,Feathered,
596,4-L-2,21.6,19,2.7,7.2,x,Cherrt,Bad,?50%,x,x,
597,4-L-2,37.2,32.6,17.9,12.4,x,Chert,Bad,?50%,x,Stepped?,
603,6-B-3,23.3,16.8,1.5,3,3.4,Chert,Good,x,Flat,Feathered,
604,6-B-3,62.2,45.4,28.4,8.9,10.5,Chert,Intermediate,x,Complex,x,Two bulbs of force
605,6-B-3,45.6,12.4,14.5,16.6,x,Chert,Bad,x,x,x,
606,6-B-3,35,17.6,25.1,19,x,Chert,Good,?50%,x,Flat,
607,6-B-3,33.8,27,11.8,16.5,12.3,Chert,Very Bad,x,Flat,x,
608,6-B-3,24.6,18.4,34,8.5,x,Chert,Bad,x,x,x,Broken on both ends
609,6-B-3,35.3,23.4,8.4,8.6,x,Chert,Very Bad,x,Flat,Feathered?,
610,6-B-3,35.4,19.9,8.1,11.6,x,Chert,Bad,x,Complex,x,
611,6-B-3,24.7,15.7,5.5,9.3,x,Chert,Intermediate,x,x,x,
612,6-B-3,30.2,24.6,5.7,7.4,x,Chert,Bad,x,x,x,
613,6-B-3,34,29.1,4.6,5.8,6.8,Chert,Intermediate,x,Flat,x,
614,6-B-3,25,11.2,5.6,14.2,x,Chert,Very Good,x,x,x,Rounded body on one side 
615,6-B-3,24,14.3,4.5,12.4,x,Chert,Very Bad,x,x,x,
616,6-B-3,41.4,23,6.4,7.2,X,Chert,Very Good,x,x,x,
617,6-B-3,24.2,10.8,0.6,2.1,x,Chert,Good,x,x,Feathered,
618,6-B-3,25.9,18.2,4.2,8.7,x,Chert,Intermediate,x,x,x,
619,6-B-3,26.9,22.4,5.6,9.5,10.3,Chert,Intermediate,x,Flat,x,
620,6-B-3,21.4,11.7,3.2,8.3,x,Chert,Very Good,x,x,x,
621,6-B-3,21.4,14.6,2.2,4.9,5.5,Chert,Good,x,Flat,Feathered,
622,6-B-3,18.4,10,1.8,9.4,x,Chert,Intermediate,x,x,x,
623,6-B-3,26.6,15.4,1.2,2,x,Chert,Intermediate,x,x,Hinged?,
624,6-B-3,18.8,14.1,1.8,6.6,5.8,Chert,Good,x,Flat,x,
625,6-B-3,27.4,22.6,2.2,2.9,3.1,Chert,Very Good,x,x,Hinged,Poss reworking
626,6-B-3,75.1,13.3,1.3,2.6,x,Chert,Intermediate,x,x,x,
627,6-B-3,22,17.5,1.5,4.2,x,Chert,Intermediate,x,x,Feathered,
628,6-B-3,21.2,17.6,1.6,4.3,5.9,Chert,Intermediate,x,Flat,x,
629,6-B-3,18.9,15.1,0.9,2.8,x,Chert,Very Good,x,x,Feathered ,Poss reworking
630,6-B-3,21.3,12.6,1.2,5,5.4,Chert ,Good,x,x,Feathered ,
631,6-B-3,17.5,13.4,1.3,3.3,3.8,Chert,Intermediate,x,Flat,x,
633,6-D-5,32.2,70.7,4.2,6.7,6.8,Limestone,Intermediate,x,Flat,Feathered,
634,6-D-5,17.8,11.7,1.4,5.4,4.5,Chert,Good,x,x,x,
635,4-F-3,22,16,7,3,3.5,Chert,Very Good,x,Flat,x,
638,6-B-4,32.2,24.1,5.8,9.3,9,Chert,Bad,?50%,Flat,Cortical,
639,6-B-4,34.1,19.9,5.3,7.7,x,Chert,Intermediate,x,x,x,
640,6-B-4,25.3,19.7,2.2,4.8,x,Chert,Good,x,x,x,
641,6-B-4,25.4,17.8,2.7,6.5,6.1,Chert,Good,x,Flat,Feathered,Sighns of rework
642,6-B-4,23.9,15.5,2.1,7.9,x,Chert,Intermediate,x,x,x,
643,6-B-4,28.8,15.2,3.2,6.1,x,Chert,Intermediate,x,x,Stepped,
644,6-B-4,19.1,16,1.4,4.1,x,Chert,Intermediate,x,x,x,
645,6-B-4,21.8,15.9,1.4,4.2,x,Chert,Bad,x,x,x,
646,6-B-4,22.9,16.4,1.1,2.3,2.3,Chert,Good,x,Flat,Feathered,
647,6-B-4,36,24,3.3,3.7,3.2,Chert,Intermediate,x,Flat,Feathered,
648,6-B-4,33.5,29.9,4.9,5.7,`5.3,Limestone,Intermediate,x,Flat,Feathered,Masonry Flake
649,6-B-4,30.6,18.3,2.6,4.5,5.8,Limestone,Intermediate,x,Flat,Feathered,Masonry Flake
650,6-B-4,20.9,19.3,2.2,5.8,6.3,Limestone,Bad,x,Flat,x,Masonry Flake
651,6-B-4,21.7,17.6,1.8,3.8,x,Limestone,Intermediate,x,x,x,Masonry Flake
652,6-B-4,20.1,21.2,1.3,4.4,4.5,Limestone,Intermediate,x,Flat,x,Masonry Flake
654,4-B-4,25.1,6.8,0.6,2.9,x,Limestone,Intermediate,x,Flat,Stepped,
657,4-F-3,30.8,19.5,3.4,5.4,5.7,Chert,Bad ,x,Flat,Hinged,
658,4-F-3,19.3,13.4,1.2,3.3,3.8,Chert,Bad,x,x,x,
660,6-B-2,25.3,18.7,3.8,5.6,x,Chert,Intermediate,x,x,Overshot?,
661,6-B-2,33.6,18.1,3.4,6.5,7.1,Chert,Good,x,Complex,Feathered,Pressure flaked 
662,6-B-2,25.7,12.2,0.9,2.3,x,Chert,Intermediate,x,x,Hinged / Feathered,Pressure flakes on curve
663,6-B-2,29.5,21.8,2.7,3.5,4.1,Chert,Intermediate,x,x,x,
664,6-B-2,20.4,20.2,1.4,5.3,x,Chert,Good,x,x,x,
665,6-B-2,22.6,10.4,1.5,7.3,x,Chert,Bad,x,x,x,
666,6-B-2,22.9,17.1,3.1,8.3,6.8,Chert,Very Good ,x,Flat,Feathered,
672,6-A-2,24.5,19.5,4.2,10.8,x,Chert,Very Good,x,x,x,
673,6-A-2,22.1,22.4,3.6,7.3,7.2,Chert,Intermediate,x,Flat,x,
674,6-A-2,27,19.9,3.5,5.6,x,Chert,Intermediate,x,x,x,
675,6-A-2,24.6,22.1,2.8,6.8,x,Chert,Very Good,x,x,Stepped,Broken off poss tool
676,6-A-2,17.6,14.3,0.6,2.3,x,Chert,Good,x,x,x,
677,6-A-2,31.6,20.3,2.7,4.1,x,Limestone,Bad,x,x,x,Masonry Flake
681,6-A-2,18.5,11.7,1.6,7.4,x,Chert,Bad,x,x,x,
682,6-A-3,30.7,19.5,3.7,5,6,Chert,Good,x,Complex,Feathered,
683,6-A-3,24,21.1,2.5,6,6.6,Chert,Bad,x,Flat,Feathered,
684,6-A-3,15.5,9,1.2,5.5,x,Chert,Very Good,x,x,x,
685,6-A-3,25.4,18.1,2.4,6.1,5.8,Chert,Good,x,Complex,Feathered,Poss flaking
686,6-A-3,20.8,13.9,2.5,1.5,4.1,Chert,Good,x,Flat,Hinged,
687,6-A-3,18.6,11.2,4.5,1.2,4.6,Chert,Very Good,x,Flat,Feathered,
691,6-A-3,33.8,21.9,5.4,9.4,9.2,Chert,Very Good,x,x,Feathered? ,
693,6-D-2,41,23,10.7,11,x,Chert,Intermediate,<50%,x,Feathered,
694,6-D-2,24,14,0.5,2,2,Chert,Very Good,x,x,Feathered,
695,6-D-2,31,29,1.2,9.5,x,Chert,Very Bad,<50%,x,x,
696,6-C-2,14,12,0.3,2,x,Chert,Very Good,x,x,x,
699,4-G-3,37.3,22,7.2,6.1,x,Chert,Very Bad,x,x,x,
700,4-G-3,34.7,17.3,6,10.6,9.5,Chert,Good,x,x,x,
701,4-G-3,24.2,17.9,3.9,2.2,x,Chert,Intermediate,<50%,x,x,
708,6-A-1,46.9,17.8,11.9,13.2,x,Chert,Intermediate,x,x,x,
709,6-A-1,24.6,15.7,9.1,2.6,x,Chert,Very Bad,x,x,x,
710,6-A-1,21.6,16.2,3.4,1.4,x,Chert,Intermediate,x,x,Poss Feathering,
711,6-A-1,16.8,13.9,4.7,0.8,4.7,Chert,Very Good,x,Flat,Feathering,
712,6-A-1,17.1,8.6,4.8,0.7,x,Chert,Intermediate,x,x,x,
713,6-A-1,17,10.1,3.6,0.8,3.6,Chert,Intermediate,x,Flat,Feathering,
714,6-A-1,14,7.8,2.8,0.3,2.8,Chert,Intermediate,x,Flat,Feathering,
717,4-M-1,32.1,25.1,4.6,4.9,7.5,Chert,Good,x,Flat,Feathering,
718,4-M-1,22,12,0.6,1.5,x,Chert,Intermediate,x,x,Feathering,
720,4-L-1,32,30,4.8,7,4.1,Chert,Intermediate,<50%,Flat,Feathering,
721,4-L-1,29,22,8.5,12,x,Chert,Intermediate,x,x,x,
722,4-L-1,28,21,3.1,5,x,Chert,Bad,x,x,x,
723,4-L-1,24,20,0.9,3,3.1,x,x,x,Flat,x,
724,4-O-2,70,49,18,33.7,17.1,Chert,Good,x,Flat,Stepped or Feathered,
725,4-O-2,31.5,20.2,39,6,5,Chert,Good,x,Flat,Feathered,
726,4-O-2,37,18,4,8,7.9,Chert,Intermediate,x,Abradded,Feathered,
727,4-O-2,44,39,22.2,11,x,Chert,Intermediate,x,x,x,
728,4-O-2,33,26,4.4,7,x,Chert,Good,<50%,x,x,
729,4-O-2,30.5,9.8,0.7,1.8,2.5,Chert,Good,x,Complex,Feathered,Curved flake
730,4-O-2,24,17.8,2,4,x,Limestone,Intermediate,x,x,x,Masonry
731,4-O-2,26,18,0.9,3,2.4,Chert,Good,x,Flat,Feathered,Poss impact scar & flaking
736,4-O-2,44,18.9,3.4,3.8,3.1,Chert,Good,x,x,Hinged,
737,4-D-4,63.2,30.4,18.1,7.9,x,Limestone,Intermediate,x,Flat,x,Masonry
738,4-D-4,18.5,14.8,1.3,4.1,x,Limestone,Intermediate,x,x,x,Masonry
742,4-N-1,28.8,14.4,2.2,5.1,5.1,Chert,Good,x,Complex,Featherd,
743,4-N-2,22.4,34.5,35.5,17.2,x,Chert,Good,x,Flat,x,Really dark chert almost black 
751,4-O-2,33.8,23.5,3.8,4.7,x,`Chert,Very Good,x,x,Feathered ,Refit
752,4-O-2,30.3,20,4,5.5,5.8,Chert,Very Good,x,Complex,Feathered,Refit
753,4-O-2,18.5,13.7,1.2,4.3,x,Chert,Intermediate,x,x,x,
755,4-K-2,30.1,17.5,9.2,10.1,X,Limestone,Intermediate,x,x,x,Masonry Flake
756,4-K-2,64.4,25.7,17.8,11.7,10.5,Chert,Good,x,Flat,Overshot,
757,4-K-2,32.4,24,5,8.3,6,Chert,Intermediate,x,Flat,x,
760,4-G-4,24.3,15.1,1.3,2.6,x,Chert,Good,x,x,Feathered,
761,4-G-4,25,24,7.7,11,x,Chert,Very Good,x,x,x,
762,4-G-3,39.7,23.3,18.6,16.6,x,Chert,Bad,x,x,x,
763,4-G-3,39,33,9.6,16.6,8,Chert,Bad,x,Flat,x,
764,4-G-3,40.2,11.5,4.9,11.9,x,Chert,Very Good,<50%,x,x,
765,4-G-3,31.1,18.4,3.7,17.9,x,Chert,Intermediate,x,x,x,
766,4-G-3,18,13.4,1.2,3,x,Chert,Intermediate,x,x,x,
767,4-G-3,34.4,26.3,5.8,8.3,8.8,Chert,Intermediate,x,x,Feathered,
768,4-G-3,20.7,13.2,1.2,4.3,4.7,Chert,Good,x,Flat,Feathered,
769,4-G-3,21,10,1.1,3.9,x,x,Intermediate,x,x,Feathered,
770,4-G-3,15.4,12.7,0.5,2.2,3,Chert,Very Good,x,Complex,Feathered,
771,4-G-3,41.4,34.2,29.6,16.9,x,Chert,Good,<50%,x,x,
772,4-G-3,26.1,19.5,3.3,5.1,x,Limestone,Intermediate,x,x,x,Masonry 
773,4-G-3,28.6,19.4,3.2,7.6,x,Limestone,Good,x,x,x,Masonry
774,4-G-3,25,21.1,3,6.1,x,Limestone,Good,x,x,x,Masonry
775,4-G-3,21.2,13,1.4,5.3,x,Limestone,Good,x,x,x,Masonry
776,4-G-3,18.5,19.3,2.3,6.8,x,Limestone,Intermediate,x,x,Feathered,Masonry
777,4-G-3,25.3,20.4,2.4,7.2,x,Limestone,Intermediate,x,x,x,Masonry
778,4-G-3,57,37.6,28.5,13.2,x,Limestone,Bad,x,x,x,Masonry
779,4-G-3,57.2,47.3,41.8,14.5,15.4,Limestone,Intermediate,x,Flat,Feathered,Masonry
780,4-G-3,51.3,45.1,31.4,14,15.2,Chert,Good,<50%,Flat,Feathered,Utalized
786,4-J-5,14.6,9.7,0.5,2.7,x,Chert,Very Good,x,x,Feathered,
787,4-J-6,29.5,25.4,4.6,5.2,6.2,Chert,Very Good,x,Flat,Feathered,Very nice flake
788,4-J-6,21.8,16.3,1,2.6,x,Chert,Very Good,x,x,Feathered,
790,4-K-1,34.6,21.2,8.3,8,x,Chert,Bad,x,x,x,
791,4-K-1,23.2,27.9,2.6,3.9,4.7,Chert,Good,x,Flat,Hinged,
792,4-K-1,23.1,13.4,2.6,9.8,x,Chert,Very Good,x,x,x,
793,4-K-1,21.1,13.6,1,2.3,x,Chert,Good,x,x,x,
794,4-K-1,20.9,10,0.6,2.9,3.1,Chert,Good,x,Complex,Feathered,
795,4-K-1,15.8,13.2,0.8,4.1,4.1,Chert,Very Good,?50%,Cortical,x,
796,4-K-1,28.7,29,14.5,30.8,9.2,Limestone,Intermediate,x,x,x,Masonry
801,4-K-3,22.6,17.7,2,4.3,4.1,Chert,Good,?50%,Flat ,Feathered,
802,4-K-3,54,32.2,25,15.6,x,Chert,Intermediate,x,x,Feathered,
805,4-J-4,14.5,10.9,1.4,6.3,x,Chert,Good,x,x,x,
807,4-I-1,29.7,21.4,3.8,5.4,5.6,Limestone,Good,x,Flat,Feathered,Masonry 2012
808,4-I-1,51.4,34,28.7,13.9,x,Chert,Intermediate,x,x,x,2012
813,2-A-4,24.7,18.2,2.4,3.5,3.5,Chert,Very Good,x,x,x,Reanalayzed JB
814,2-A-4,18.5,15.3,7.1,2.5,x,Chert,Good,x,x,x,Reanalayzed JB
815,2-A-4,44.4,27.8,10.5,12.2,7.4,Chert,Intermediate,x,x,Feathered,Reanalayzed JB
816,2-A-4,27.6,15,6.3,4.4,x,Chert,Intermediate,x,x,x,Reanalayzed JB
817,2-A-4,23,15.7,4.6,2.4,x,Chert,Intermediate,x,x,Feathered,Reanalayzed JB
818,2-A-4,35,23.1,10.3,8.7,9.8,Chert,Very Good,x,Flat,x,Reanalayzed JB
819,2-A-4,13.6,5.8,5,33.4,7.1,Chert,Good,x,x,Feathered,Reanalayzed JB
820,2-A-4,38.2,36.6,11.1,16.9,10.1,Chert,Good,<50%,Flat,x,Reanalayzed JB
821,2-A-4,30.2,27.6,2.5,3,2.8,Chert,Intermediate,x,x,x,"Reanalayzed JB, poss flaking on edges"
822,2-A-4,32.4,13.2,4.4,2.3,x,Chert,Bad,x,x,x,Reanalayzed JB
823,2-A-4,44.5,14.3,6.9,6.3,x,Chert,Very Good,x,x,x,Reanalayzed JB
824,2-A-4,36.8,18.8,5.9,4.8,5.9,Chert,Good,x,x,x,Reanalayzed JB
825,2-A-4,24.2,15.6,4.1,2.3,4.6,Chert,Intermediate,x,x,x,Reanalayzed JB
826,2-A-4,29.8,13.9,6,2.8,x,Chert,Intermediate,x,x,Feathered,Reanalayzed JB
827,2-A-4,31.4,15.6,6.7,4.8,x,Chert,Good,x,x,x,Reanalayzed JB
828,2-A-4,21.4,21.3,5,2.9,4.5,Chert,Very Good,<50%,Cortical,x,Reanalayzed JB
829,2-A-4,26,14.9,3.6,1.8,x,Chert,Intermediate,x,x,Feathered,Reanalayzed JB
830,2-A-4,25.8,15.4,4.5,2.1,4.3,Chert,Intermediate,x,x,x,Reanalayzed JB
831,2-A-4,22.5,15.3,4,2,5.1,Chert,Intermediate,x,x,Feathered,Reanalayzed JB
832,2-A-4,17.6,10.9,3.2,0.5,3.6,Chert,Good,x,Flat,Feathered,Reanalayzed JB
833,2-A-4,21.7,13.7,3,1.2,3.1,Chert,Intermediate,x,Flat,Feathered,Reanalayzed JB
834,2-A-4,23.8,15.9,3.2,1.3,x,Chert,Good,x,x,x,Reanalayzed JB
863,4-R-1,28.3,18.1,5.8,3.7,6.8,Chert,Good,x,Flat,Feathered ,
864,4-R-1,17.2,10,3,0.5,3,Chert,Very Good,x,Flat,x,
864,4-R-1,32,23.6,4,2.7,3.9,Chert,Very Good,x,x,x,
879,1-B-7,33.5,28.9,6.1,7.5,6.4,Chert,Good,x,x,Feathered,"Reanalayzed JB, # 382 & 327-381"
880,1-B-7,41.2,28.1,5.6,9,8,Chert,Intermediate,x,Flat,Overshot?,Reanalayzed JB
881,1-B-7,69.2,30.6,44.7,22,x,Chert,Bad,?50%,Flat,Overshot,Reanalayzed JB
882,1-B-7,36.7,19.8,6.5,6.8,9.8,Chert,Bad,<50%,Cortical,Stepped,Reanalayzed JB
883,1-B-7,29.8,22.5,5.3,3.6,5.1,Chert,Very Good,<50%,Cortical,x,Reanalayzed JB
884,4-P-1,48.6,21.2,12,12.4,x,Chert,Very Bad,x,x,x,
