DH2GC Lithic Analysis Form- Debitage,,,,,,
Dates: ,,,,,,
Analyzed by:,,,,,,
Artifact#,Provenience,Quantity,Weight (Grams),Size (mm),Analyzed by,Comments
583,4-P-1,2,1,11.7,KP & MCR,Chert and unknown
584,4-P-1,2,2.4,22.5,KP & MCR,?50% cortex
590,4-P-1,2,0.9,16.8,KP & RG,"?50% cortex, oxidized?"
598,6-B-3,15,7.6,16.3,"KP, RG, & MCR",Verying chert quality
599,6-B-3,10,15.5,21,"KP, RG, & MCR",
600,6-B-3,6,1.5,10.5,"KP, RG, & MCR",
601,6-B-3,9,33.1,27.7,"KP, RG, & MCR",
636,6-B-4,2,3.2,24.4,KP & RG,Chert and cortex tip oxidized
637,6-B-4,3,25,39.9,KP & RG,One with less than 50% cortex
653,4-B-4,4,2,14.5,KP & RG,Chert
659,4-F-3,2,4,27.7,KP & RG,Chert of varying qualities
667,6-B-2,6,8.7,20.3,KP & RG,Chert
668,6-B-2,5,2.1,15.5,KP & RG,Chert of varying qualities
669,6-A-2,5,1.7,14.5,"KP, RG, & MCR",Chert
670,6-A-2,6,25.2,35.3,"KP, RG, & MCR",Chert
678,6-A-3,10,5.5,18.3,"KP, RG, & MCR",
679,6-A-3,7,12.8,19.7,"KP, RG, & MCR",
680,6-A-3,4,17.4,31.1,"KP, RG, & MCR",
690,6-A-4,5,3.6,23,"KP, RG, & MCR",
692,6-D-2,2,0.7,14.5,"KP, RG, & MCR",
697,6-B-3,1,2.5,18.2,"KP, RG, & MCR",100% (cortex?) on one side
698,4-G-3,3,4.1,23.9,"KP, RG, & MCR",Chert bad quality with some cortex
706,6-A-1,2,11.1,38.3,"KP, RG, & MCR",Poor chert
707,6-A-1,20,9.7,21.2,"KP, RG, & MCR",
715,6-A-4,3,1.1,17.4,"KP, RG, & MCR",
716,4-M-1,2,0.7,15.4,"KP, RG, & MCR",
719,4-M-1,2,2.3,20.4,"KP, RG, & MCR",Poor chert
732,4-O-2,3,2.3,20.2,"KP, RG, & MCR",
733,4-O-2,5,11.4,27.6,"KP, RG, & MCR",
739,4-O-1,2,4.9,24.5,"KP, RG, & MCR",
740,4-N-1,3,4,30.3,"KP, RG, & MCR",Good quality chert
741,4-N-2,1,0.6,9.4,"KP, RG, & MCR",
744,4-N-2,2,4.4,25.1,"KP, RG, & MCR",
745,4-F-Wall Collapse,3,14.4,35.7,"KP, RG, & MCR",
750,4-O-2,3,1,14.3,"KP, RG, & MCR",
754,4-K-2,5,4.7,21.7,"KP, RG, & MCR",
762,4-G-4,2,2.4,17.1,"KP, RG, & MCR",Very good quality chert
784,4-G-3,9,9.1,33.3,"KP, RG, & MCR",
785,4-J-5,3,2.3,23.5,"KP, RG, & MCR",
789,4-J-6,1,0.7,15.9,"KP, RG, & MCR",
797,4-K-1,2,0.3,11.6,"KP, RG, & MCR",
798,4-K-1,8,8,23.8,"KP, RG, & MCR",
799,4-K-1,1,3.5,27.5,"KP, RG, & MCR",
804,4-K-3,3,1.5,21.9,"KP, RG, & MCR",
809,4-I-1,4,1.5,15.5,"KP, RG, & MCR",2012 Bag
810,2-A-4,2,26.1,48.3,"KP, RG, & MCR",Reanalysed JB
811,2-A-4,8,20.3,30.9,"KP, RG, & MCR",Reanalysed JB
812,2-A-4,21,17.5,18.3,"KP, RG, & MCR",Reanalysed JB
840,2-A-4,8,30,34.2,MCR,Reanalysed JB
841,2-A-4,7,3,10.6,MCR,Reanalysed JB
842,2-A-4,3,19,36.6,MCR,Reanalysed JB
843,2-A-4,14,22,26.4,MCR,Reanalysed JB
844,2-A-4,10,9,19.3,MCR,Reanalysed JB
869,4-R-1,5,29.9,27.7,RG & KP,
870,4-R-1,5,4,19.2,RG & KP,
871,6-B-2,2,6.3,21.8,RG & KP,
873,1-B-7,3,3.1,24.2,RG & KP,From JB #382
874,1-B-7,4,34.3,28.8,RG & KP,From JB #382
875,1-B-7,9,43.8,31.2,RG & KP,From JB #382
876,1-B-7,7,103.3,38.5,RG & KP,"From JB #382, core fragments / flakes lots of cortex "
877,1-B-7,5,118.1,45.4,RG & KP,"From JB #382, core fragments / flakes lots of cortex "
878,1-B-7,5,230,49.1,RG & KP,"From JB #382, core fragments / flakes lots of cortex "
887,1-P-1,9,12.1,19.4,RG & KP,
888,1-P-1,2,20.2,36.8,RG & KP,
889,1-P-1,4,146.2,53.9,RG & KP,
893,4-S-1,8,21.4,23.6,RG & KP,
894,4-S-1,2,24.6,6.7,RG & KP,
895,4-S-1,2,44.7,56.3,RG & KP,
896,4-S-1,1,100.4,72.5,RG & KP,
897,4-S-1,11,74,32.7,RG & KP,Masonry debitage limestone
904,1-A-7,8,71,46.1,RG & KP & MCR,Reanalysed JB
905,1-A-7,134,44,30.7,RG & KP & MCR,Reanalysed JB
906,1-A-7,11,19.9,6,RG & KP & MCR,Reanalysed JB
907,1-A-7,37,68,23.3,RG & KP & MCR,Reanalysed JB
909,1-A-7,9,6,19.9,RG & KP & MCR,Reanalysed JB
921,1-B-7,6,18,23.5,RG & KP & MCR,Reanalysed JB
922,1-B-7,2,53,59.1,RG & KP & MCR,Reanalysed JB
923,1-B-7,3,5,22.7,RG & KP & MCR,Reanalysed JB
924,1-B-7,2,19,37.2,RG & KP & MCR,Reanalysed JB
925,1-B-7,8,7,12.7,RG & KP & MCR,Reanalysed JB
926,1-B-6,9,32.3,25.8,RG & KP & MCR,Reanalysed JB
927,1-B-6,5,54.7,32.1,RG & KP & MCR,Reanalysed JB
928,1-B-6,3,57.2,50.9,RG & KP & MCR,Reanalysed JB
929,4-R-2,10,13.5,18.1,RG & KP & MCR,
930,4-R-2,4,17.7,19,RG & KP & MCR,
931,4-R-2,3,45.8,40,RG & KP & MCR,
943,4-A-1,1,3,17,RG & KP & MCR,2012 Bag
944,2-A-2,56,20.8,16.6,RG & KP & MCR,Reanalysed JB
945,2-A-2,32,28.5,19.7,RG & KP & MCR,Reanalysed JB
946,2-A-2,18,25,28.9,RG & KP & MCR,Reanalysed JB
947,2-A-2,14,31,32,RG & KP & MCR,Reanalysed JB
948,2-A-2,19,15,22.2,RG & KP & MCR,Reanalysed JB
949,2-A-2,11,65,43,RG & KP & MCR,Reanalysed JB
976,2-A-5,4,14.1,32.8,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
977,2-A-5,50,56.3,26.4,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
978,2-A-5,19,6.2,14.9,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
979,3-B-6,1,0.3,10.6,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
980,3-B-6,4,7.5,19,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
981,3-B-6,2,12,29.6,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
982,4-B-2,3,1.7,20,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
983,4-B-2,2,6.5,30,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
984,4-B-2,6,11.5,25.7,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
985,4-B-2,12,3.3,14.7,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
986,2-A-3,119,79,21.4,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
987,2-A-3,20,33.8,28.1,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
1058,4-J-2,14,13,18.5,MCR,6/23/13 reanalyzed JB
1059,4-J-2,6,23,30,MCR,6/23/13 reanalyzed JB
1060,4-J-2,6,6,10.3,MCR,6/23/13 reanalyzed JB
1062,4-J-2,15,8,16.6,MCR,6/23/13 reanalyzed JB
1064,2-A-3,3,1,16.9,MCR,6/23/13 reanalyzed JB
1065,4-G-2,4,7.4,23.5,EM,6/23/13 reanalyzed JB
1066,4-G-2,16,82.7,25.9,EM,6/23/13 reanalyzed JB
1072,4-G-2,1,1.6,24.2,EM,6/23/13 reanalyzed JB
1073,3-A-1,10,3.3,12.6,MCR,6/23/13 reanalyzed JB
1080,2-B-3,3,2.2,15.5,KP,6/23/13 reanalyzed JB
1083,1-A-6,1,13.9,33.1,KP,6/23/13 reanalyzed JB
53,1-B-8,1,55.9,66.8,KP,6/23/13 reanalyzed JB
1089,1-B-9,9,10,22.9,KP & RG,6/23/13 reanalyzed JB
1090,1-B-9,4,18,33.5,KP & RG,6/23/13 reanalyzed JB
1091,1-B-9,2,26.9,39.8,KP & RG,6/23/13 reanalyzed JB
1092,1-B-2,2,23.8,37,KP & RG,Reanalysed JB
1101,1-B-2,1,20.6,41.4,KP & RG,Reanalysed JB
1102,1-B-2,4,20.4,25.1,KP & RG,Reanalysed JB
1103,1-B-2,2,1.5,18.8,KP & RG,Reanalysed JB
1104,2-A-1,8,8.4,23,KP & RG,Reanalysed JB
1105,2-A-1,3,42.1,44.8,KP & RG,Reanalysed JB
1106,2-A-1,10,1.9,19.2,KP & RG,Reanalysed JB
1107,2-A-1,2,6.8,19.6,KP & RG,Reanalysed JB
