"Artifact_Id","Operation","Suboperation","Lot","Type_collection","Lenght_mm","Width_mm","Thickness_mm","Mass_g","Raw_material","Quality","Comments"
594,4,"P",1,"GUB",88.7,25.9,28.7,166.1,"Limestone",3,"Masonry, poss chopper"
602,6,"B",3,"Core",55,31.3,22.3,49.3,"Chert",1,"Poss core?"
625,6,"B",3,"Utilized Flake",27.4,22.6,2.9,2.2,"Chert",5,"Poss reworking"
629,6,"B",3,"Utilized Flake",18.9,15.1,2.8,0.9,"Chert",5,"Poss reworking"
632,6,"D",5,"GUB",82,60,40,174.1,NA,4,"Small chopper"
641,6,"B",4,"Utilized Flake",25.4,17.8,6.5,2.7,"Chert",4,"Sighns of rework"
655,4,"B",4,"Core",28,24,17,15.1,"Chert",2,"Poss exhausted mt core"
656,4,"F",3,"GUB",75,55,23,105,"Chert",5,"DSU to cortex, impact scars, fracture on proximal end"
661,6,"B",2,"Utilized Flake",33.6,18.1,6.5,3.4,"Chert",4,"Pressure flaked "
662,6,"B",2,"Utilized Flake",25.7,12.2,2.3,0.9,"Chert",3,"Pressure flakes on curve"
671,6,"A",2,"Scrapper",44.3,29.6,7,7.7,"Chert",5,"Poss pressure flaking"
675,6,"A",2,NA,24.6,22.1,6.8,2.8,"Chert",5,"Broken off poss tool"
685,6,"A",3,"Utilized Flake",25.4,18.1,6.1,2.4,"Chert",4,"Poss flaking"
688,6,"A",3,"Core",45.8,31.1,32.2,60.5,"Chert",1,"Test core"
689,6,"A",3,"Core",35.7,27.3,20.6,23.2,"Chert",1,"Poss core"
702,4,"G",3,"Scrapper",48.2,46.2,20,40.7,"Chert",3,"<50% cortex"
703,4,"G",3,"Core",62.1,54.7,21.2,74.9,"Chert",4,""
704,4,"G",3,"Biface Other",65.2,49,20.4,82.1,"Chert",5,"Medial fragment, closer to proximal end, impact scars"
705,4,"G",3,"Red Stone",62.4,30.8,24.6,65.9,NA,5,"Red rock polished?"
731,4,"O",2,"Utilized Flake",26,18,3,0.9,"Chert",4,"Poss impact scar & flaking"
734,4,"O",2,"Constricting Stem",64.2,30.8,32.1,81.9,"Chert",4,"Poss proximal end of a constricting stem biface fragment"
735,4,"O",2,"Biface Other",107.2,54.6,22.2,146.4,"Chert",5,"Impact Fracture proximal side and pressure flaking"
746,4,"N",2,"Scrapper",87.2,55.4,32.9,125,"Chert",2,"Large scrapper?"
747,4,"N",2,"Core",46.7,37.5,11.6,16.5,"Chert",4,"Poss core fragment"
748,4,"O",2,"Plaster Stone",16.2,74.1,45.5,600,"Chert",5,"Plaster stone polished on one side "
749,4,"O",2,"Core",44.7,43.3,26.8,56,"Chert",3,"Poss exhausted core"
758,4,"K",2,"Plaster Stone",77.7,43.1,44.1,160.6,"Chert",4,"Poss plasster stone fragment, white flat bottom "
780,4,"G",3,"Utilized Flake",51.3,45.1,14,31.4,"Chert",4,"Utalized"
781,4,"G",3,"Scrapper",61.4,52.6,26.5,11.7,"Chert",3,""
782,4,"G",3,"Scrapper",24.8,60.3,84.2,155.5,"Chert",4,"Impact scars"
783,4,"G",3,"Core",105.6,89,40.8,330,"Chert",1,""
800,4,"K",1,"Core",31,49,23,73.4,"Chert",2,"Poss core"
803,4,"K",3,"Core",49.6,34.6,22.9,36.7,"Chert",4,"Poss core"
806,4,"J",9,"Biface Other",81.6,46.5,24,97.8,"Chert",5,"DSU to cortex, impact scars, fracture on proximal end, Impact fractures on sides"
821,2,"A",4,"Utilized Flake",30.2,27.6,3,2.5,"Chert",3,"Reanalayzed JB, poss flaking on edges"
835,2,"A",4,"Scrapper",39.6,18.3,8.6,5.8,"Chert",4,"Reanalyzed JB"
836,2,"A",4,"Scrapper",36.5,18.6,6.8,5.9,"Chert",2,"Reanalyzed JB"
837,2,"A",4,"Utalized flake",22.9,12.1,3.6,1.2,"Chert",3,"Reanalyzed JB, proximal uniface utalized flake"
838,2,"A",4,"Utalized flake",25.8,15.1,6.6,2.2,"Chert",4,"Reanalyzed JB, distal end"
839,2,"A",4,"Drill",20.9,13.2,2.5,0.7,"Chert",3,"Reanalyzed JB"
845,2,"A",4,"Drill",15.5,8.7,6,1.2,"Chert",3,"Reanalyzed JB"
846,2,"A",4,"Drill",17.8,8.5,2.5,0.6,"Chert",5,"Reanalyzed JB"
847,2,"A",4,"Drill",12.4,8,3.4,0.5,"Chert",4,"Reanalyzed JB"
848,4,"A",2,"Drill",34.3,19.9,4.9,3.7,"Chert",2,"Reanalyzed JB"
849,4,"A",2,"Drill",21.8,14.8,7,4.7,"Chert",4,"Reanalyzed JB"
850,4,"A",2,"Drill",26.5,27.7,7.2,4,"Chert",5,"Reanalyzed JB"
851,4,"A",2,"Drill",29.1,11.3,5.2,2.1,"Chert",4,"Reanalyzed JB"
852,4,"A",2,"Drill",24.5,13.6,4.2,1.7,"Chert",5,"Reanalyzed JB"
853,4,"A",2,"Drill",28.6,10.5,5.5,2.4,"Chert",3,"Reanalyzed JB"
854,4,"A",2,"Drill",31.2,15.4,3,2.3,"Chert",3,"Reanalyzed JB"
855,4,"A",2,"Drill",26.6,19.8,3.1,1.9,"Chert",4,"Reanalyzed JB"
856,4,"A",2,"Drill",22.7,13.1,4.8,1.6,"Chert",4,"Reanalyzed JB"
857,4,"A",2,"Drill",29.5,13.4,3.7,1.8,"Chert",3,"Reanalyzed JB"
858,4,"A",2,"Drill",27,11.1,4.8,1.8,"Chert",5,"Reanalyzed JB"
859,4,"A",2,"Drill",27.6,8.2,5.7,1.7,"Chert",2,"Reanalyzed JB"
860,4,"A",2,"Drill",23.3,10.5,6.4,2.2,"Chert",3,"Reanalyzed JB"
861,4,"A",2,"Drill",29,11,6.6,2.6,"Chert",3,"Reanalyzed JB"
862,4,"A",2,"Drill",29.9,11.5,2.6,1.4,"Chert",3,"Reanalyzed JB"
866,4,"R",1,"GUB",54.2,41.8,15.8,15.9,"Chert",4,"Medial frag close to proximal end"
867,4,"R",1,"Utalized flake",46,24.3,6.6,11.1,"Chert",3,""
868,4,"R",1,"Core",58.5,48.6,19.6,54.1,"Chert",3,"Poss flakes from it in deb and flakes"
872,1,"B",7,"Core",35.1,49.3,27.6,54.3,"Chert",5,"From JB #382"
890,4,"P",1,"Core",91.6,71,32.4,179,"Chert",4,"Poss test core"
891,4,"S",1,"Scrapper",54,47.1,22.1,72.2,"Chert",5,"Poss GUB ms scrapper distal end"
892,4,"S",1,"Core",59.2,45.9,27.1,62.2,"Chert",4,"Poss core of core fragment "
940,4,"R",2,"Uniface",32.2,20.6,7.2,5.1,"Chert",3,"Medial fragment"
941,4,"Q",1,"Misc chunk",38.2,35.3,14.5,13.7,"Chert",4,""
942,4,"S",2,"Biface Other",63.5,57.8,17.8,65.8,"Chert",4," Proximal end"
952,2,"A",2,"Drill",25,10,3.1,0.9,"Chert",3,"Drill from reanalysis of JB"
953,2,"A",2,"Drill",28.7,11.4,5.5,2.2,"Chert",4,"Drill from reanalysis of JB"
954,2,"A",2,"Drill",24,15.8,2.6,1.7,"Chert",4,"Drill from reanalysis of JB"
955,2,"A",2,"Drill",31.5,16.1,5.3,2.6,"Chert",3,"Drill from reanalysis of JB, <50% CORTEX"
956,2,"A",2,"Drill",32.7,11.6,5.8,2.6,"Chert",3,"Drill from reanalysis of JB"
957,2,"A",2,"Drill",24,13,3.9,2,"Chert",3,"Drill from reanalysis of JB"
958,2,"A",2,"Drill",29.2,13.7,4.9,3.1,"Chert",4,"Drill from reanalysis of JB"
970,2,"A",5,"Utilized Flake",30.5,13.6,4.9,3,"Chert",4,"Reanalyzed Jb, sides worked"
971,2,"A",5,"Utilized Flake",28.1,17.7,6.4,3,"Chert",4,"Reanalyzed Jb, sides worked"
1001,2,"A",3,"Utilized Flake",39.5,13.4,6.5,4.5,"Chert",3,"Reanlyzed JB, poss reworking"
1006,2,"A",3,"Utilized Flake",20.4,30.1,5.9,3.4,"Chert",3,"Reanlyzed JB, poss reworking"
1008,2,"A",3,"Utilized Flake",33.4,14.9,6.5,3.7,"Chert",5,"Reanlyzed JB, poss reworking"
1020,2,"A",3,NA,27.2,15.8,3.8,2.3,"Chert",3,"Poss tool"
1026,2,"A",3,"Utilized Flake",28,12.7,4.7,2.3,"Chert",4,"Reanalyzed, poss reworking"
1061,4,"J",2,"GUB",53.9,59,24.7,78.4,"Chert",3,"Distal frag, impact features, possible scrapper reuse"
1063,2,"A",3,"Scrapper",30,48.9,9.9,9,"Chert",5,"Distal frag"
1071,4,"G",2,"Biface Other",41.6,44.8,10.6,21.2,"Chert",4,"Proximal end (thin)"
1085,1,"A",6,"GUB",40.7,44.9,17.5,26.1,"Chert",3,"Heavy impact scars"
1127,NA,"13",NA,"Biface Other",76.4,49,21.7,113.9,"Chert",4,"White chert, impact fractures distal end, side broken recently, proximal end missing"
1129,4,"H",2,"GUB",85.8,61.7,32.1,189.3,"Chert",1,"Intact"
1130,6,"B",3,"Biface Other",66,36.5,23,62.9,"Chert",3,"Usage scars"
1131,6,"B",3,"Biface Other",46.8,40.3,23.9,45,"Chert",3,"Proximal end?"
1132,6,"B",3,"GUB",48.7,68.3,34.6,113.3,"Chert",4,"Distal end"
1133,4,"J",2,"Biface Other",78.6,40.4,16.3,55.5,"Chert",5,""
1134,4,"D",1,"Prismatic Blade",9,7.8,2.7,0.2,"Obsidian",NA,""
1135,4,"N",3,"Prismatic Blade",17.2,9.3,1.6,0.4,"Obsidian",NA,"Striations on Blade"
1136,4,"N",3,"Prismatic Blade",24,11.6,3.6,1.2,"Obsidian",NA,""
1137,6,"A",2,"Prismatic Blade",20.5,8,3,0.5,"Obsidian",NA,""
1138,6,"D",6,"Prismatic Blade",29,13.5,3.3,1.4,"Obsidian",NA,""
1139,6,"B",5,"Prismatic Blade",20.9,11.3,2.7,0.9,"Obsidian",NA,"Pressure Flaking and Striations"
1140,6,"B",3,"Prismatic Blade",25.4,10,2.9,0.8,"Obsidian",NA,""
1141,4,"J",NA,"Prismatic Blade",29.1,6.8,1,0.3,"Obsidian",NA,""
1144,4,"G",4,"Prismatic Blade",64.1,14.6,4.3,3.9,"Obsidian",NA,"The One True Prismatic Blade- Pressure Flaking"
1146,4,"J",5,"Prismatic Blade",20.7,11.7,2,0.8,"Obsidian",NA,"Flake Unknown Type With Striations"
1147,4,"J",5,"Uniface",26.2,10.5,2.3,0.5,"Obsidian",NA,"Proximal End Overshot?"
1148,4,"J",5,"Uniface",22.9,7,1.7,0.3,"Obsidian",NA,"Pressure Flaking, Ripples"
1149,4,"J",5,"Uniface",22.3,8.6,2.4,0.5,"Obsidian",2,"Once a Prismatic Blade Trimmed- Poor Quality"
1150,4,"J",5,"Uniface",26,9,1.7,0.5,"Obsidian",NA,"Rippling Positioning on One Edge"
1151,4,"J",5,"Uniface",17.7,9.6,3.1,0.4,"Obsidian",NA,"Rippling"
1154,4,"J",5,"Uniface",25.4,10.6,1.5,0.3,"Obsidian",NA,"Evidence of Pressure Flaving on Dorsal Side, Ripping"
1155,4,"J",5,"Uniface",26.5,7.8,1.2,0.3,"Obsidian",NA,"Bulb"
1157,4,"J",5,"Prismatic Blade",27.4,5.3,1.4,0.3,"Obsidian",NA,""
1158,4,"J",5,"Uniface",23.8,8.1,2.7,0.6,"Obsidian",NA,"Poss Small Bulb"
1159,4,"J",5,"Prismatic Blade",27.5,5,0.9,0.2,"Obsidian",NA,"Possible Trimming "
1160,4,"J",5,"Uniface",21.3,9.2,2.1,0.4,"Obsidian",NA,"Ripples, Slight Bulb"
1162,4,"J",5,"Uniface",20.1,5.6,0.8,0.2,"Obsidian",NA,"Thinned Prismatic "
1163,4,"J",5,"Prismatic Blade",32.8,7.1,2.6,0.6,"Obsidian",NA,"Bulb Ripples Complete Very Nice"
1164,4,"J",5,"Uniface",20.8,6.2,2.1,0.2,"Obsidian",NA,"Bulb"
1165,4,"J",5,"Uniface",11.9,8.4,1.4,0.2,"Obsidian",NA,"Bulb Ripples Poss Failed Prismatic Blade"
1166,4,"J",5,"Uniface",25.1,7.6,1.3,0.2,"Obsidian",NA,"Poss Dorsal Pressure Flaking"
1167,4,"J",5,"Uniface",22,6,1.4,0.2,"Obsidian",NA,"Rippling"
1168,4,"J",5,"Uniface",19.5,8.8,1.4,0.3,"Obsidian",NA,"Striations Small Bulb Evidense of Thinning"
1169,4,"J",5,"Uniface",21.3,9.4,1.1,0.3,"Obsidian",NA,"Bulb Striated Poss Dorsal Pressure Flaking"
1170,4,"J",5,"Uniface",10.6,7.9,1.7,0.1,"Obsidian",NA,""
1171,4,"J",5,"Uniface",14.4,9.7,2,0.2,"Obsidian",NA,"Small Buld Poss Pressure Flaking"
1172,4,"J",5,"Uniface",10.4,10.5,3.7,0.3,"Obsidian",NA,"Poss Dorsal Pressure Flaking"
1174,4,"J",5,"Uniface",8.9,6.9,1.5,0.1,"Obsidian",NA,"Striations"
1176,4,"J",5,"Uniface",14,3.8,1.3,0.1,"Obsidian",NA,"Part of Broken Flake"
1178,4,"J",5,"Uniface",16.2,6.1,3.1,0.2,"Obsidian",2,"Poor Quality"
1179,4,"J",5,"Uniface",13.7,5.7,1.5,0.2,"Obsidian",NA,"Evidense of thinning Striations"
1182,4,"J",5,"Uniface",15,7.1,2,0.2,"Obsidian",NA,"Bulb Ripples"
1186,4,"J",5,"Uniface",7.1,7.6,2.2,0.2,"Obsidian",NA,""
1188,4,"J",6,"Uniface",8.5,7.3,1.8,0.2,"Obsidian",NA,"Poss Flake Removal or Dorsal Side"
1189,4,"J",6,"Uniface",8.8,4.4,1.5,0.1,"Obsidian",NA,"Poss Flaking"
1190,4,"J",6,"Uniface",8.1,7.6,1.9,0.2,"Obsidian",NA,"Striations"
1191,4,"J",6,"Uniface",10.1,4.7,1.2,0.1,"Obsidian",2,"Poor Quality"
1192,4,"J",6,"Uniface",11.7,8.4,2.1,0.2,"Obsidian",NA,""
1195,4,"J",6,"Uniface",10.2,6.4,1.5,0.1,"Obsidian",NA,"Rippling Small Bulb"
1199,4,"J",6,"Uniface",14.1,6,1.9,0.2,"Obsidian",NA,"Dorsal Scarring Small Bulb"
1200,4,"J",6,"Uniface",8.6,9.5,2.8,0.2,"Obsidian",NA,"Rippling"
1202,4,"J",6,"Prismatic Blade",21.5,9.4,2,0.5,"Obsidian",NA,"Poss Dorsal Pressure Flaking Bulb Striations"
1203,4,"J",6,"Prismatic Blade",27.5,7.6,2.5,0.7,"Obsidian",NA,"Striations"
1205,4,"J",6,"Uniface",15,4.6,1.4,0.1,"Obsidian",NA,"Dorsal Flake Scan Very Small Bulb"
1206,4,"J",6,"Uniface",9.1,6.1,0.9,0.1,"Obsidian",NA,""
1209,4,"J",6,"Uniface",11.4,8.3,1.9,0.2,"Obsidian",NA,"Striations"
1213,4,"J",6,"Prismatic Blade",22.9,7.2,2.1,0.3,"Obsidian",NA,"Rippling"
1215,4,"J",6,"Uniface",31.6,6.9,0.9,0.3,"Obsidian",NA,"Dorsal Flake Bulb Rippling"
1216,4,"J",6,"Uniface",18.9,7.4,1.7,0.3,"Obsidian",NA,"Striations"
1217,4,"J",4,"Uniface",31.6,6.4,1.6,0.4,"Obsidian",NA,""
1218,4,"J",4,"Prismatic Blade",41,10.5,1.9,1,"Obsidian",NA,"Evidence of Trimming Rippling and Weathering"
1219,4,"J",4,"Prismatic Blade",36.1,10.2,1.9,0.8,"Obsidian",NA,"Pressure Flaking Dorsal Side"
1220,4,"J",4,"Prismatic Blade",25.1,6.1,1.2,0.3,"Obsidian",NA,""
1221,4,"J",4,"Prismatic Blade",23.3,10.8,2.3,0.6,"Obsidian",NA,"Small Bulb Ventral Chipping Ripplings"
1222,4,"J",4,"Prismatic Blade",20.4,10.3,2.5,0.6,"Obsidian",NA,"Small Bulb Evidence of Thinning Striations"
1223,4,"J",4,"Uniface",20.8,8.6,1.5,0.2,"Obsidian",NA,"Small Bulb Thinning"
1224,4,"J",4,"Prismatic Blade",17.4,7.8,1.3,0.2,"Obsidian",NA,"Striations Rippling"
1225,4,"J",4,"Uniface",17.2,8.7,1.1,0.2,"Obsidian",NA,"Small Bulb, Striations, and Ripples"
1226,4,"J",4,"Uniface",16.4,6.9,1.9,0.2,"Obsidian",NA,"Nicking on Dorsal Ridge Ripples"
1231,4,"J",4,"Uniface",12.2,9.6,3.1,0.4,"Obsidian",NA,"Striations Ripples and Small Bulb"
1233,4,"J",4,"Uniface",16.3,5,2.4,0.2,"Obsidian",NA,"Small Bulb Ventral Flake Scar x2"
1234,4,"J",4,"Uniface",7.2,8.1,2.3,0.2,"Obsidian",NA,""
